brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size
74813,for_sale,319900,4,2,2.6,136305,Davison,Michigan,48423,1425
52681,for_sale,289900,2,2,0.21,627282,Davison,Michigan,48423,1350
14027,for_sale,2400000,5,7,23.82,1161075,Metamora,Michigan,48455,5457
52804,for_sale,398000,3,3,0.18,672408,Clinton Township,Michigan,48036,1832
47020,for_sale,325000,3,2,2.92,1518879,Flushing,Michigan,48433,2098
78852,for_sale,199900,2,2,1.83,728451,Montrose,Michigan,48457,1270
53271,for_sale,719000,3,3,0.53,1974224,Fenton,Michigan,48451,2575
31620,for_sale,275000,3,2,0.39,1680701,Lennon Vlg,Michigan,48449,1530
13355,for_sale,160000,3,2,0.58,1267928,Vassar,Michigan,48768,1092
78852,for_sale,69900,4,3,0.2,659991,Saginaw,Michigan,48602,1782
14772,for_sale,120000,4,1,2.8,1509382,Alger,Michigan,48610,1788
22562,for_sale,174900,4,2,0.24,1386890,Beaverton,Michigan,48612,2124
33327,for_sale,153000,3,1,1,1296061,Hope,Michigan,48628,1352
9268,for_sale,139900,2,1,20,1078634,Rhodes,Michigan,48652,900
68857,for_sale,99900,3,1,1,425656,Sanford,Michigan,48657,1072
78895,for_sale,200000,3,2,0.61,932648,Roscommon,Michigan,48653,1360
30807,for_sale,224900,3,1,0.26,545369,Richfield Township,Michigan,48656,1000
22340,for_sale,269900,4,2,0.93,1256447,Okemos,Michigan,48864,2404
15347,for_sale,350000,3,2,5.32,1210818,Portland,Michigan,48875,1764
53265,for_sale,65000,1,1,0.29,1374002,Lansing,Michigan,48911,691
23582,for_sale,134900,3,1,0.15,1301519,Lansing,Michigan,48910,1293
35530,for_sale,269900,3,2,0.7,1753371,Ionia,Michigan,48846,1958
30807,for_sale,103000,3,1,0.2,1595652,Hastings,Michigan,49058,1087
58536,for_sale,329900,4,4,0.34,1799976,Ionia,Michigan,48846,3448
100191,for_sale,624900,4,3,1.65,1413994,Caledonia,Michigan,49316,2547
9906,for_sale,659900,4,3,0.92,1294445,Grand Rapids,Michigan,49512,2225
53265,for_sale,189900,3,3,0.18,1328104,Eaton Rapids,Michigan,48827,1800
4205,for_sale,154900,2,2,0.42,183242,Stanwood,Michigan,49346,1866
16275,for_sale,299000,3,3,0.39,149791,Canadian Lakes,Michigan,49346,2036
52708,for_sale,440000,5,4,4.03,1289082,Six Lakes,Michigan,48886,5256
30253,for_sale,299900,5,4,0.71,662788,Brooklyn,Michigan,49230,2704
49409,for_sale,239900,3,1,0.25,264698,Kalamazoo,Michigan,49006,1736
40339,for_sale,245000,2,1,0.67,922041,Delton,Michigan,49046,832
64643,for_sale,54900,2,1,0.23,195117,Benton Harbor,Michigan,49022,984
10521,for_sale,200000,2,1,2,1682596,Allegan,Michigan,49010,1220
10529,for_sale,160000,1,1,20,257874,Grand Junction,Michigan,49056,875
37761,for_sale,475000,3,2,0.4,1163472,Paw Paw,Michigan,49079,2024
95005,for_sale,1050000,6,5,1.8,257842,Wayland,Michigan,49348,3619
106582,for_sale,120000,2,2,1.12,1199628,Dorr,Michigan,49323,8120
30507,for_sale,485000,5,3,22.09,1520063,Addison,Michigan,49220,2400
31383,for_sale,255000,2,2,0.25,715651,Grand Rapids,Michigan,49505,1791
16275,for_sale,179900,2,1,0.51,380828,Hersey,Michigan,49639,1128
40346,for_sale,185000,3,2,0.21,1243991,Kentwood,Michigan,49508,1539
52708,for_sale,199900,2,1,0.28,1030658,Grandville,Michigan,49418,816
5793,for_sale,374900,4,3,0.36,1084836,Grandville,Michigan,49418,2844
23102,for_sale,195000,3,2,0.2,645238,Spring Lake,Michigan,49456,2112
52708,for_sale,549000,3,4,5.14,412059,Grand Haven,Michigan,49417,3634
33736,for_sale,325000,5,2,0.38,860298,Zeeland,Michigan,49464,2216
8260,for_sale,184000,4,1,0.33,1633982,Gaylord,Michigan,49735,1440
